date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:57	2347/2347	---MCZ	200	added ('OK')	text/xml	date:Sun,%2001%20Jul%202018%2009:00:56%20GMT	https://breezometer.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbreezometer.com%2Fair-quality-api%2Fpollen-api%2F&format=xml	breezometer.com/wp-json/oembed/1.0/embed4e76	(from https://breezometer.com/air-quality-api/pollen-api/)
12:00:58	2257/2257	---MCZ	200	added ('OK')	application/json	date:Sun,%2001%20Jul%202018%2009:00:57%20GMT	https://breezometer.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbreezometer.com%2Fair-quality-api%2Fweather-api%2F	breezometer.com/wp-json/oembed/1.0/embed50bc.json	(from https://breezometer.com/air-quality-api/weather-api/)
12:00:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jul%202018%2009:00:58%20GMT	https://breezometer.com/?p=6739	breezometer.com/index4f52.html	(from https://breezometer.com/air-quality-api/weather-api/)
12:00:59	2352/2352	---MCZ	200	added ('OK')	text/xml	date:Sun,%2001%20Jul%202018%2009:00:58%20GMT	https://breezometer.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbreezometer.com%2Fair-quality-api%2Fweather-api%2F&format=xml	breezometer.com/wp-json/oembed/1.0/embed3510	(from https://breezometer.com/air-quality-api/weather-api/)
12:01:00	2347/2347	---MCZ	200	added ('OK')	application/json	date:Sun,%2001%20Jul%202018%2009:00:59%20GMT	https://breezometer.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbreezometer.com%2Fcareers%2Fsales-development-representative-2%2F	breezometer.com/wp-json/oembed/1.0/embedd477.json	(from https://breezometer.com/careers/sales-development-representative-2/)
12:01:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jul%202018%2009:01:00%20GMT	https://breezometer.com/?p=6873	breezometer.com/index42a1.html	(from https://breezometer.com/careers/sales-development-representative-2/)
12:01:01	2442/2442	---MCZ	200	added ('OK')	text/xml	date:Sun,%2001%20Jul%202018%2009:01:00%20GMT	https://breezometer.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbreezometer.com%2Fcareers%2Fsales-development-representative-2%2F&format=xml	breezometer.com/wp-json/oembed/1.0/embed1ea0	(from https://breezometer.com/careers/sales-development-representative-2/)
12:01:02	2359/2359	---MCZ	200	added ('OK')	application/json	date:Sun,%2001%20Jul%202018%2009:01:01%20GMT	https://breezometer.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbreezometer.com%2Fcareers%2Fbusiness-development-manager%2F	breezometer.com/wp-json/oembed/1.0/embeddcd8.json	(from https://breezometer.com/careers/business-development-manager/)
12:01:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jul%202018%2009:01:02%20GMT	https://breezometer.com/?p=6868	breezometer.com/index2356.html	(from https://breezometer.com/careers/business-development-manager/)
12:01:03	2460/2460	---MCZ	200	added ('OK')	text/xml	date:Sun,%2001%20Jul%202018%2009:01:02%20GMT	https://breezometer.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbreezometer.com%2Fcareers%2Fbusiness-development-manager%2F&format=xml	breezometer.com/wp-json/oembed/1.0/embed52ea	(from https://breezometer.com/careers/business-development-manager/)
